model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
8,SLSQP,[0.15003431 0.01598983 0.22382287],[0.15003413 0.0159901  0.22382283],0.00011966385101222295,[0.00080843 0.12380662 0.01309757],88.76533895308643,0.3865451812744141
8,SLSQP,[0.08371902 0.24876745 0.12668804],[0.08353229 0.24837862 0.12654814],0.15558832870603828,[0.01105964 0.07239998 0.10333923],32.49809202610273,0.16899394989013672
8,SLSQP,[0.17820751 0.18532006 0.01289473],[0.17820766 0.18532019 0.01289483],8.79625873496581e-05,[0.07970811 0.04770393 0.01077241],85.24550284642542,0.3488595485687256
8,SLSQP,[0.1533209  0.01337363 0.13729976],[0.15332101 0.01337367 0.13729978],5.739443746757948e-05,[0.1305158  0.06367731 0.00343438],99.69031630574649,0.3275675773620605
8,SLSQP,[0.17035079 0.09848994 0.16279156],[0.17035058 0.09848993 0.16279177],0.00011585431592199556,[0.12500748 0.03421238 0.03362631],60.10501196099365,1.0342180728912354
8,SLSQP,[0.2846997  0.08894738 0.00299453],[0.19967062 0.09349251 0.00858142],28.60796971221657,[0.08990425 0.01407465 0.01845745],91.36430706633485,0.10112786293029784
8,SLSQP,[0.04568126 0.14072446 0.126037  ],[0.04566287 0.14074822 0.12603115],0.01574989965021532,[0.06792846 0.05092483 0.07286959],23.24396298886652,1.0807204246520996
8,SLSQP,[0.04215138 0.08140287 0.27107528],[0.04215116 0.08140273 0.27107524],9.32448141419874e-05,[0.00188482 0.04712491 0.07867752],2.0547581372708894,0.31404900550842285
8,SLSQP,[0.04603796 0.08457485 0.10358765],[0.04603803 0.08457504 0.10358753],0.00016841571257015896,[0.08803115 0.09246758 0.0121542 ],78.69506041590512,0.32904839515686035
8,SLSQP,[0.05388268 0.28692811 0.04599266],[0.05388279 0.28692792 0.0459925 ],9.317530967161878e-05,[0.03415927 0.08359465 0.02300485],36.66138221516132,0.39412975311279297
8,SLSQP,[0.16590902 0.13969173 0.09313121],[0.16590918 0.13969176 0.09313114],7.75007421831043e-05,[0.0016331  0.14641046 0.00922651],26.91830893128467,0.5828781127929688
8,SLSQP,[0.12026612 0.2495732  0.01999996],[0.12026548 0.24957266 0.02000006],0.00030371290925822083,[0.01642821 0.06917128 0.07382333],41.12479003608451,0.38724422454833984
8,SLSQP,[0.22949525 0.0175304  0.16541791],[0.19077166 0.02062741 0.1487356 ],14.915915882757606,[0.12037694 0.06527401 0.01029853],78.48803581702111,0.14664173126220706
8,SLSQP,[0.16961712 0.23953965 0.05899557],[0.15159287 0.22157719 0.05646709],8.541521175258772,[0.06791785 0.09605063 0.04864499],30.19996164724445,0.12705183029174805
8,SLSQP,[0.17315673 0.23771207 0.05530466],[0.15228181 0.21877099 0.05492276],9.420284574797614,[0.03764586 0.09884453 0.06738693],20.772549520328983,0.13887691497802734
8,SLSQP,[0.14493303 0.20751911 0.08602118],[0.14493304 0.20751936 0.08602116],9.477692744146168e-05,[0.12196079 0.01078902 0.00330409],99.65017619356207,0.29810500144958496
8,SLSQP,[0.26333077 0.12064805 0.03310075],[0.19862765 0.11565267 0.03474525],22.266867802946557,[0.02314205 0.11755405 0.04821752],18.448221115749828,0.11410927772521973
8,SLSQP,[0.02397684 0.12043825 0.20105261],[0.02397687 0.12043817 0.20105265],3.8802705892590994e-05,[0.05678071 0.08173155 0.08046932],61.58307898419361,0.484684944152832
8,SLSQP,[0.13091928 0.19017909 0.14222504],[0.13091935 0.19017903 0.14222503],3.7371211972699496e-05,[0.08536843 0.00568866 0.11935275],62.8154888193947,0.4212753772735596
