,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
11,modello_8.urdf,SLSQP,[0.04931832 0.06955869 0.2453455 ],[0.04931781 0.0695579  0.24534486],0.00044084755953006433,[0.0492532  0.12367258 0.05508488],-1,0.11100482940673828
12,modello_8.urdf,SLSQP,[0.24262265 0.15246116 0.02677436],[0.19511466 0.14187267 0.02497808],16.924017181249045,[0.05902102 0.1235739  0.05343174],-1,0.05756807327270508
13,modello_8.urdf,SLSQP,[0.2012015  0.1336418  0.13147021],[0.18344435 0.12814045 0.12606177],7.040142406579591,[0.12571682 0.05116351 0.02144265],-1,0.06110382080078125
14,modello_8.urdf,SLSQP,[0.05073123 0.25772735 0.13021803],[0.05073042 0.2577266  0.1302184 ],0.00039579676705742367,[0.04449527 0.07697891 0.01074771],-1,0.09977269172668457
15,modello_8.urdf,SLSQP,[0.24018939 0.08182502 0.1519364 ],[0.19150013 0.07481629 0.1389335 ],17.203657319975505,[0.08207624 0.08171276 0.0184102 ],-1,0.05293011665344238
16,modello_8.urdf,SLSQP,[0.00471341 0.05499138 0.15303597],[0.00471361 0.05499113 0.153035  ],0.0006256410868072337,[0.06583565 0.02102188 0.07535547],-1,0.09189558029174805
17,modello_8.urdf,SLSQP,[0.06977377 0.19115734 0.0988159 ],[0.06977402 0.19115598 0.09881677],0.00072244908786395,[0.00715737 0.02686259 0.0564242 ],-1,0.10008049011230469
18,modello_8.urdf,SLSQP,[0.00355502 0.20680214 0.0714641 ],[0.00355076 0.20680804 0.07145918],0.0040145565988864,[0.05097033 0.00916867 0.06565359],-1,0.08912110328674316
19,modello_8.urdf,SLSQP,[0.16833205 0.11101244 0.21784843],[0.1517969  0.10455344 0.20517113],7.348546779842558,[0.05142541 0.00742914 0.13074293],-1,0.06657075881958008
20,modello_8.urdf,SLSQP,[0.03336451 0.29689742 0.00104266],[0.03336521 0.29689824 0.00104224],0.00038436015952180553,[0.00818408 0.12946583 0.02037701],-1,0.09650063514709473
21,modello_8.urdf,SLSQP,[0.14600582 0.19928748 0.16800331],[0.13454316 0.18962503 0.15986773],5.709258127618672,[0.01261545 0.0701076  0.00061818],-1,0.06195330619812012
22,modello_8.urdf,SLSQP,[0.08345999 0.27946893 0.05978928],[0.081968   0.27621278 0.05908734],1.225884804605426,[0.05489976 0.12741565 0.04136823],-1,0.07532286643981934
23,modello_8.urdf,SLSQP,[0.1376283  0.18091808 0.16803949],[0.13674667 0.18024612 0.16739808],0.45305106834279135,[0.08537298 0.0581552  0.04951474],-1,0.0718386173248291
24,modello_8.urdf,SLSQP,[0.05722553 0.01350685 0.1541162 ],[0.05722501 0.01350748 0.15411474],0.0010192421929588768,[0.06596352 0.12338932 0.05278429],-1,0.14307832717895508
25,modello_8.urdf,SLSQP,[0.13795071 0.16789205 0.18763409],[0.13455902 0.16538206 0.18481812],1.7669282513390936,[0.0005463  0.11358221 0.04629153],-1,0.07929873466491699
26,modello_8.urdf,SLSQP,[0.0426892  0.0657428  0.03342847],[0.05009831 0.07714917 0.03924224],17.357901936470427,[0.07496765 0.02776595 0.01877048],-1,0.09790778160095215
27,modello_8.urdf,SLSQP,[0.0997751  0.12162455 0.08311179],[0.09977507 0.12162436 0.08311337],0.0008988031906220316,[0.07871473 0.11805196 0.0134188 ],-1,0.11935257911682129
28,modello_8.urdf,SLSQP,[0.13194984 0.08217962 0.04686765],[0.13195019 0.08217683 0.04686765],0.0017343340314930238,[0.11095458 0.0465575  0.08823537],-1,0.10903072357177734
29,modello_8.urdf,SLSQP,[0.09180141 0.25785163 0.03545579],[0.09180237 0.25785271 0.03545611],0.0005353219688631435,[0.00939797 0.11553158 0.0404462 ],-1,0.10062408447265625
30,modello_8.urdf,SLSQP,[0.28910795 0.00143514 0.07199685],[0.19894999 0.00143132 0.08534173],30.59000059075553,[0.05027156 0.06714206 0.1204128 ],-1,0.03392338752746582
31,modello_8.urdf,SLSQP,[0.12141783 0.27126305 0.0180414 ],[0.11543287 0.26277346 0.01747943],3.4937189004542657,[0.00132764 0.08302625 0.00410988],-1,0.06598854064941406
32,modello_8.urdf,SLSQP,[0.16255303 0.04727791 0.2065437 ],[0.16255159 0.04727839 0.20654225],0.0007839192874644764,[0.13722451 0.03510249 0.03243247],-1,0.08216571807861328
33,modello_8.urdf,SLSQP,[0.10345223 0.15604129 0.08189838],[0.10345313 0.15603955 0.0818998 ],0.0011854934566100895,[0.13174986 0.0408476  0.0239807 ],-1,0.10823798179626465
34,modello_8.urdf,SLSQP,[0.13408317 0.10845378 0.05914196],[0.134082   0.10845224 0.05914293],0.0011868753072243722,[0.08255887 0.07201883 0.01073611],-1,0.10445094108581543
35,modello_8.urdf,SLSQP,[0.22147686 0.06444615 0.17615988],[0.18601628 0.0596124  0.16300306],13.137636639125297,[0.11985782 0.03694922 0.08187292],-1,0.05853271484375
36,modello_8.urdf,SLSQP,[0.04590525 0.20162009 0.18395108],[0.04590489 0.20162059 0.18395163],0.00029816568262061463,[0.1187518  0.06820826 0.04504133],-1,0.1001729965209961
