,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
84,modello_8.urdf,trac-ik,"0    0.062572
1    0.292201
2    0.001253
Name: 84, dtype: float64",[0 0 0],100.0,,-1,0.00521397590637207
85,modello_8.urdf,trac-ik,"0    0.064143
1    0.254131
2    0.092093
Name: 85, dtype: float64",[0.06414297 0.25413092 0.09209346],3.8684555400111296e-05,,-1,0.0004363059997558594
86,modello_8.urdf,trac-ik,"0    0.092843
1    0.089586
2    0.157991
Name: 86, dtype: float64",[0.09284316 0.08958569 0.15799129],3.4122501291405334e-05,,-1,0.00033283233642578125
87,modello_8.urdf,trac-ik,"0    0.129618
1    0.030545
2    0.074972
Name: 87, dtype: float64",[0 0 0],100.0,,-1,0.005166292190551758
88,modello_8.urdf,trac-ik,"0    0.040673
1    0.158093
2    0.061139
Name: 88, dtype: float64",[0 0 0],100.0,,-1,0.005177974700927734
89,modello_8.urdf,trac-ik,"0    0.042392
1    0.162112
2    0.147334
Name: 89, dtype: float64",[0.04239263 0.16211152 0.1473341 ],0.0004030681983351373,,-1,0.0005166530609130859
90,modello_8.urdf,trac-ik,"0    0.113803
1    0.043058
2    0.170716
Name: 90, dtype: float64",[0.11380316 0.04305786 0.17071568],3.967906587547403e-06,,-1,0.0012903213500976562
91,modello_8.urdf,trac-ik,"0    0.068170
1    0.001793
2    0.046320
Name: 91, dtype: float64",[0 0 0],100.0,,-1,0.0052034854888916016
92,modello_8.urdf,trac-ik,"0    0.108026
1    0.022172
2    0.005992
Name: 92, dtype: float64",[0 0 0],100.0,,-1,0.005259037017822266
93,modello_8.urdf,trac-ik,"0    0.005869
1    0.245336
2    0.163474
Name: 93, dtype: float64",[0.00586851 0.24533521 0.16347334],0.00016657330918623845,,-1,0.0004260540008544922
94,modello_8.urdf,trac-ik,"0    0.001237
1    0.232597
2    0.105875
Name: 94, dtype: float64",[0.00123721 0.23259653 0.105875  ],0.00013804328830419564,,-1,0.0003960132598876953
95,modello_8.urdf,trac-ik,"0    0.279755
1    0.041085
2    0.024713
Name: 95, dtype: float64",[0 0 0],100.0,,-1,0.00516819953918457
96,modello_8.urdf,trac-ik,"0    0.099880
1    0.107414
2    0.252867
Name: 96, dtype: float64",[0 0 0],100.0,,-1,0.005233049392700195
97,modello_8.urdf,trac-ik,"0    0.048424
1    0.161101
2    0.162331
Name: 97, dtype: float64",[0.04842353 0.16110136 0.16233107],4.311450693495908e-06,,-1,0.0005254745483398438
98,modello_8.urdf,trac-ik,"0    0.050933
1    0.101661
2    0.273730
Name: 98, dtype: float64",[0.05093271 0.10166006 0.27372881],0.00043568326375896397,,-1,0.00041174888610839844
99,modello_8.urdf,trac-ik,"0    0.192649
1    0.166162
2    0.061810
Name: 99, dtype: float64",[0 0 0],100.0,,-1,0.005185127258300781
100,modello_8.urdf,trac-ik,"0    0.198471
1    0.145837
2    0.132751
Name: 100, dtype: float64",[0 0 0],100.0,,-1,0.00517582893371582
101,modello_8.urdf,trac-ik,"0    0.225974
1    0.179105
2    0.058402
Name: 101, dtype: float64",[0 0 0],100.0,,-1,0.005222320556640625
102,modello_8.urdf,trac-ik,"0    0.212083
1    0.164348
2    0.020079
Name: 102, dtype: float64",[0 0 0],100.0,,-1,0.005209207534790039
103,modello_8.urdf,trac-ik,"0    0.043296
1    0.280944
2    0.079199
Name: 103, dtype: float64",[0.0432948  0.28094155 0.07919809],0.0009198094047355363,,-1,0.0005207061767578125
104,modello_8.urdf,trac-ik,"0    0.098924
1    0.133476
2    0.234115
Name: 104, dtype: float64",[0.09892351 0.13347557 0.23411508],8.331536191899045e-05,,-1,0.0003345012664794922
105,modello_8.urdf,trac-ik,"0    0.189216
1    0.025493
2    0.224182
Name: 105, dtype: float64",[0 0 0],100.0,,-1,0.00516819953918457
106,modello_8.urdf,trac-ik,"0    0.106549
1    0.025137
2    0.213917
Name: 106, dtype: float64",[0.10654903 0.02513713 0.21391664],1.611400344591361e-06,,-1,0.0005459785461425781
107,modello_8.urdf,trac-ik,"0    0.113847
1    0.193310
2    0.053824
Name: 107, dtype: float64",[0.11384653 0.19330974 0.05382412],3.144228467490663e-05,,-1,0.0004258155822753906
108,modello_8.urdf,trac-ik,"0    0.259667
1    0.002316
2    0.108219
Name: 108, dtype: float64",[0 0 0],100.0,,-1,0.005162954330444336
109,modello_8.urdf,trac-ik,"0    0.088496
1    0.102739
2    0.014634
Name: 109, dtype: float64",[0 0 0],100.0,,-1,0.005202770233154297
110,modello_8.urdf,trac-ik,"0    0.132555
1    0.207371
2    0.027924
Name: 110, dtype: float64",[0.13255335 0.2073691  0.02792709],0.0016600122308205367,,-1,0.0009477138519287109
111,modello_8.urdf,trac-ik,"0    0.141577
1    0.187400
2    0.137404
Name: 111, dtype: float64",[0.14157625 0.1873997  0.13740432],0.00011341328620392961,,-1,0.0004315376281738281
112,modello_8.urdf,trac-ik,"0    0.030503
1    0.156910
2    0.195647
Name: 112, dtype: float64",[0.03050341 0.15691038 0.19564674],2.0031442778535326e-06,,-1,0.0004515647888183594
